SKU|Make|Model|Year|Submodel|ourBodyTypeName|_BodyNumDoors_|Universal SKU|SKU_Naumkin|Required SKU|Optional SKU|Available|Available1|ourMake|Fitment_note|ourRealModel|_MfrBodyCodeName_|ourModel|Available2|Processing|Brand|_BodyTypeName_|Part#1|NumDoor|Length_b|MMY
C0789CC-RW3|Chevrolet|Silverado 1500|2009|||||C0789CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|Chevrolet|Silverado 1500|2010|||||C0789CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|Chevrolet|Silverado 1500|2011|||||C0789CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|Chevrolet|Silverado 1500|2012|||||C0789CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|Chevrolet|Silverado 1500|2013|||||C0789CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|GMC|Sierra 1500|2007|||||C0789CC-RW3|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|GMC|Sierra 1500|2008|||||C0789CC-RW3|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|GMC|Sierra 1500|2009|||||C0789CC-RW3|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|GMC|Sierra 1500|2010|||||C0789CC-RW3|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|GMC|Sierra 1500|2011|||||C0789CC-RW3|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|GMC|Sierra 1500|2012|||||C0789CC-RW3|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|GMC|Sierra 1500|2013|||||C0789CC-RW3|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2007|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2008|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2009|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2010|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2011|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2012|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2013|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2014|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 2500 HD|2015|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2007|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2008|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2009|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2010|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2011|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2012|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2013|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2014|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
C07100CC-RW3|Chevrolet|Silverado 3500 HD|2015|||||C07100CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C07100CC-RW3||6'6" Bed|
